Algorithm,Size,Case,Time (s),Time StdDev,Comparisons,Steps
Interpolation Search,50000,average,1.5200028428807855e-06,6.013323684890458e-07,3.0,2.0
Linear Search,100000,average,0.008247759999358095,0.00032981862083155035,49132.0,49132.0
Binary Search,100000,average,3.980004112236202e-06,1.4716011053653045e-06,23.0,12.0
Jump Search,100000,average,6.801999697927385e-05,1.2193179269930293e-05,308.0,308.0
Exponential Search,100000,average,6.100002792663872e-06,2.3630519688389896e-06,38.0,28.0
Fibonacci Search,100000,average,6.799999391660095e-06,1.2116089149252386e-06,13.0,37.0
Interpolation Search,100000,average,1.9799976143985986e-06,8.133883733229769e-07,5.0,3.0
Linear Search,1000,worst,9.617999894544483e-05,5.1909133794558215e-06,1000.0,1000.0
Binary Search,1000,worst,3.1000003218650817e-06,9.295193236146112e-07,20.0,10.0
Jump Search,1000,worst,1.0800000745803118e-05,1.517893905790258e-06,33.0,33.0
Exponential Search,1000,worst,4.140002420172095e-06,9.372296449283886e-07,29.0,20.0
Fibonacci Search,1000,worst,6.279998342506588e-06,7.884182981020862e-07,15.0,30.0
Interpolation Search,1000,worst,7.000024197623134e-07,3.098353910319581e-07,0.0,0.0
Linear Search,5000,worst,0.0004710599983809516,9.584275214060553e-06,5000.0,5000.0
Binary Search,5000,worst,3.679998917505145e-06,7.678524190940884e-07,26.0,13.0
Jump Search,5000,worst,2.4419996771030127e-05,5.494504432774307e-06,72.0,72.0
Exponential Search,5000,worst,4.52000240329653e-06,7.025663558497409e-07,34.0,24.0
Fibonacci Search,5000,worst,7.299997378140688e-06,8.786343773397877e-07,18.0,36.0
Interpolation Search,5000,worst,6.400019628927111e-07,2.3324159879269395e-07,0.0,0.0
Linear Search,10000,worst,0.0009525999979814514,2.2365511180568818e-05,10000.0,10000.0
Binary Search,10000,worst,4.05999890062958e-06,1.0800024567830198e-06,28.0,14.0
Jump Search,10000,worst,3.082000184804201e-05,2.2964353069633197e-06,100.0,100.0
Exponential Search,10000,worst,4.999997327104211e-06,1.0564079643102509e-06,37.0,26.0
Fibonacci Search,10000,worst,7.5400021160021424e-06,6.974197938907458e-07,19.0,38.0
Interpolation Search,10000,worst,6.599992047995329e-07,2.7276165636649156e-07,0.0,0.0
Linear Search,20000,worst,0.0019246600044425578,3.405440187455949e-05,20000.0,20000.0
Binary Search,20000,worst,4.199999966658652e-06,8.197566228187925e-07,30.0,15.0
Jump Search,20000,worst,4.606000147759915e-05,5.070938677921116e-06,142.0,142.0
Exponential Search,20000,worst,5.2800023695454e-06,8.704062923481126e-07,40.0,28.0
Fibonacci Search,20000,worst,8.380002691410482e-06,6.337184032593157e-07,21.0,42.0
Interpolation Search,20000,worst,6.399990525096655e-07,1.8547033011150163e-07,0.0,0.0
Linear Search,50000,worst,0.005291080000461079,0.0004085604141441868,50000.0,50000.0
Binary Search,50000,worst,5.339997005648911e-06,2.1629620640635884e-06,32.0,16.0
Jump Search,50000,worst,7.124000112526118e-05,1.0000117606475476e-05,225.0,225.0
Exponential Search,50000,worst,6.959997699595988e-06,2.1434548293526938e-06,47.0,32.0
Fibonacci Search,50000,worst,9.00000159163028e-06,6.387449835779422e-07,23.0,46.0
Interpolation Search,50000,worst,6.599992047995329e-07,2.7276165636649156e-07,0.0,0.0
Linear Search,100000,worst,0.013493180001387373,0.0008941254111220884,100000.0,100000.0
Binary Search,100000,worst,5.000000237487257e-06,1.8132873665816999e-06,34.0,17.0
Jump Search,100000,worst,0.00010161999962292612,1.589117871987662e-05,317.0,317.0
Exponential Search,100000,worst,6.739998934790492e-06,1.5907248264571523e-06,50.0,34.0
Fibonacci Search,100000,worst,9.400004637427628e-06,7.66815521702522e-07,24.0,48.0
Interpolation Search,100000,worst,6.80002267472446e-07,3.1240659001722367e-07,0.0,0.0
